Standard mean,0.80495393,0.03670635,0.023564005,0.018858766,0.015386947,0.012865042,0.01143038,0.009337868,0.008579009,0.008120759,0.007829392,0.006870783,0.006195067,0.006122976,0.006024471,0.005844729,0.00564067,0.005647977,0.005493801,0.005459908,0.004602371,0.004530017,0.00419523,0.004309194,0.004047124,0.004076016,0.004191458,0.003782533,0.00393449,0.003719701,0.00373608
Standard stdev,0.3486875,0.035227515,0.029354034,0.028446784,0.02615791,0.024765385,0.024667267,0.02186683,0.022456612,0.021416519,0.021499086,0.022116102,0.0212806,0.022554662,0.022290263,0.021960761,0.021196367,0.021205666,0.021358024,0.022334557,0.01773682,0.018818684,0.017965132,0.018487845,0.017833397,0.017583106,0.01773598,0.017556267,0.017965645,0.01796498,0.017406642
Seq mean,1.0771439,0.010891419,0.003800214,0.001969385,0.001417625,0.0011034,0.000926694,0.000776879,0.000587076,0.000601054,0.000350196,0.000362224,0.000382804,0.000365282,0.000388151,0.000477357,0.00042841,0.000440447,0.000408239,0.000412584,0.000507165,0.000449712,0.000529919,0.000480444,0.00051114,0.000343917,0.000392296,0.000225142,0.00037141,0.000352366,0.000333162
Seq stdev,0.4495016,0.008236066,0.006429034,0.004884826,0.004250227,0.003653148,0.003527387,0.003157882,0.002650935,0.002739145,0.00179405,0.001833079,0.001838837,0.001916641,0.001932553,0.001961003,0.001895971,0.001851231,0.001968172,0.001909547,0.002114931,0.001846432,0.002262221,0.001799044,0.001909945,0.000534211,0.001119375,0.00022136,0.000656506,0.000525723,0.000516883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,
makedata1,100,20,600,4,56,96,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.27218997,0.025814931,0.019763791,0.016889381,0.013969322,0.011761642,0.010503686,0.008560989,0.007991933,0.007519705,0.007479197,0.006508559,0.005812263,0.005757694,0.00563632,0.005367372,,,,,,,,,,,,,,,
Sum-stdev,0.39909455,0.02173179,0.017891534,0.016665805,0.015204069,0.014209267,0.014097327,0.012512356,0.012553774,0.012077832,0.011646568,0.011974591,0.011559718,0.012235651,0.012111408,0.011960882,,,,,,,,,,,,,,,
Is it?,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
