Standard mean,1.015389,0.089476034,0.061711725,0.044419244,0.035053205,0.027974773,0.023758547,0.021452876,0.019000553,0.01644611,0.014682705,0.013046359,0.011684452,0.010461103,0.009288517,0.008685424,0.007816071,0.00666794,0.00631133,0.005745774,0.005223441,0.004823216,0.00458137,0.004362753,0.004170039,0.003745931,0.003513403,0.003206712,0.003022857,0.002972827,0.002961497,0.002687958,0.002483469,0.002445232,0.002449165,0.002348565,0.002604707,0.002557271,0.002359421,0.002213797,0.002341732,0.002350507,0.002473991,0.002294009,0.002240587,0.00212022,0.002174835,0.002150672,0.002213119,0.002235464,0.002404633,0.00214014,0.002066029,0.00205158,0.002057932,0.002066383,0.002215826,0.002160024,0.002117654,0.002058317,0.002097464,0.002158748,0.002124458,0.00220153,0.002110155,0.00209214,0.00202224,0.002356938,0.002278606,0.002123327,0.002181761,0.002071042,0.00214495,0.002433758,0.002220509,0.00206992,0.00211157,0.002074196,0.002237241,0.002137087,0.002271228,0.002164298,0.002237288,0.002154551,0.002274148,0.002140265,0.002088963,0.002035791,0.002125094,0.002287974,0.002121182,0.00235348,0.002357196,0.002183158,0.002486446,0.002226223,0.002218555,0.002218484,0.003299162,0.002475945,0.002306321
Standard stdev,0.42540923,0.014024095,0.022667656,0.026124543,0.0251743,0.02297889,0.021972332,0.022170294,0.021970736,0.020573648,0.021220898,0.020054776,0.019015677,0.017664798,0.016814925,0.016563946,0.014849128,0.013233662,0.013629673,0.012857771,0.012826965,0.012454648,0.012422401,0.012875967,0.013924961,0.012187191,0.0121493,0.012138987,0.012016639,0.011700734,0.012190543,0.011979616,0.011565161,0.011588319,0.011663312,0.011546317,0.012668397,0.012465859,0.011384254,0.011719684,0.012086823,0.012118829,0.012741931,0.012027643,0.011739523,0.011412001,0.011782973,0.011947271,0.011730666,0.012276001,0.012950723,0.012049449,0.011561888,0.011445941,0.01163749,0.01163874,0.012517033,0.011810252,0.011644144,0.011686727,0.011760999,0.011917631,0.011964345,0.012126836,0.011757457,0.012282023,0.011514694,0.01214633,0.013154336,0.011834933,0.012179713,0.011673202,0.011757301,0.013311718,0.012517762,0.011348456,0.012121318,0.011739677,0.01270951,0.011504257,0.012700683,0.011514912,0.011577644,0.011542391,0.012459433,0.011426821,0.011538825,0.011644497,0.012073149,0.012341466,0.011760853,0.012129894,0.011730528,0.011751303,0.01330467,0.011459773,0.011743545,0.01187067,0.015825491,0.012331185,0.011572231
Sequential mean,1.4595543,0.060886998,0.0296654,0.01838793,0.014335795,0.011429867,0.009127618,0.006965989,0.00552313,0.00466057,0.003640211,0.003082963,0.002800543,0.002552399,0.002390018,0.002161613,0.001987629,0.001788517,0.001540374,0.001386626,0.001297888,0.001199103,0.001079138,0.000935758,0.000800979,0.000665997,0.000565176,0.000504284,0.000514506,0.000477193,0.000483067,0.000464549,0.00044149,0.000327845,0.000310018,0.000290483,0.000276099,0.000283117,0.00026308,0.000262322,0.000268781,0.000287036,0.000275702,0.0002729,0.000253284,0.000278595,0.000276981,0.000264572,0.000257484,0.000284674,0.000237462,0.000255269,0.000276883,0.000322168,0.000272158,0.000290237,0.000318103,0.000329175,0.000329094,0.000325019,0.000353053,0.0003511,0.000288013,0.00028578,0.00029603,0.000414213,0.000326131,0.000356972,0.000356792,0.000309392,0.000335939,0.000292186,0.000306141,0.000355139,0.000395527,0.000334574,0.00033549,0.000292406,0.000298956,0.000351182,0.000351079,0.000407521,0.000338258,0.000355828,0.000317771,0.000304534,0.000340387,0.000301199,0.000323181,0.000346542,0.000405072,0.000416928,0.000358809,0.000372956,0.000353672,0.000367442,0.000471721,0.00040965,0.000369313,0.000373327,0.000348172
Sequential stdev,0.7957236,0.02110872,0.014103575,0.007396543,0.006551816,0.006816957,0.006996397,0.006782905,0.006357368,0.006215211,0.005513999,0.00510518,0.005048774,0.004802332,0.004793856,0.004657859,0.004561034,0.004215917,0.003702016,0.003542864,0.003508712,0.003411557,0.003152802,0.002670497,0.002219665,0.001815121,0.001752571,0.00165358,0.001626347,0.00165267,0.001608007,0.001629979,0.001349478,0.000337565,0.000294239,0.000197972,0.000172953,0.00018634,0.000146148,0.000136416,0.000137857,0.000209906,0.000192377,0.000149061,0.000147022,0.000218578,0.000198821,0.000165646,0.0001478,0.000241569,0.000111389,0.000140992,0.000186442,0.000474401,0.000195234,0.000217275,0.000300178,0.000274303,0.000282838,0.000248268,0.000335603,0.00028881,0.000175667,0.000193165,0.000234092,0.000880789,0.000250191,0.000380854,0.000323578,0.000171399,0.000377171,0.000216457,0.000304543,0.000370806,0.000886218,0.000326898,0.000291284,0.000166224,0.000173512,0.000348268,0.000335296,0.000654175,0.000348126,0.000273194,0.000290515,0.000235238,0.00030918,0.00017408,0.000223113,0.000262001,0.000496828,0.000471479,0.000318906,0.000324351,0.000206585,0.000227049,0.000923748,0.000403187,0.000307718,0.000319718,0.00023179
,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata2,100,5,500,8,112,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.4441653,0.028589036,0.032046325,0.026031314,0.02071741,0.016544906,0.014630929,0.014486887,0.013477423,0.01178554,0.011042494,0.009963396,0.008883909,0.007908704,0.006898499,0.006523811,0.005828442,0.004879423,0.004770956,0.004359148,0.003925554,0.003624114,0.003502233,0.003426995,0.00336906,0.003079934,0.002948226,0.002702428,0.002508351,0.002495634,0.00247843,0.002223409,0.002041978,0.002117387,0.002139147,0.002058083,0.002328608,0.002274154,0.002096341,0.001951476,0.002072951,0.00206347,0.00219829,0.00202111,0.001987303,0.001841625,0.001897854,0.001886099,0.001955635,0.00195079,0.002167171,0.001884871,0.001789146,0.001729412,0.001785774,0.001776146,0.001897723,0.001830849,0.00178856,0.001733298,0.00174441,0.001807648,0.001836444,0.00191575,0.001814125,0.001677927,0.001696109,0.001999966,0.001921814,0.001813935,0.001845822,0.001778856,0.00183881,0.002078619,0.001824982,0.001735346,0.00177608,0.001781789,0.001938284,0.001785905,0.001920149,0.001756777,0.00189903,0.001798723,0.001956377,0.001835731,0.001748576,0.001734592,0.001801913,0.001941432,0.001716111,0.001936552,0.001998388,0.001810202,0.002132774,0.001858781,0.001746834,0.001808834,0.002929849,0.002102618,0.001958149
