Standard mean,1.0294423,0.096829414,0.07843526,0.06528774,0.054454237,0.04713768,0.040117294,0.03480916,0.030865194,0.027856769,0.025412107,0.023436418,0.021746757,0.020900795,0.019798031,0.018910753,0.018032318,0.017173136,0.01687922,0.01632547,0.015763411,0.014841223,0.014036655,0.013985271,0.013710745,0.013328667,0.013030279,0.012807225,0.012625144,0.012450037,0.01194803,0.011412093,0.010985897,0.010583408,0.010207738,0.009955648,0.009878975,0.00962154,0.009143935,0.009115017,0.009042585,0.008506168,0.008588194,0.008523691,0.008226747,0.007880406,0.007961885,0.00797789,0.007693345,0.007521253,0.007430302,0.007578115,0.007244587,0.007269455,0.007247662,0.007383521,0.007240805,0.006916244,0.00657616,0.006481601,0.006267487,0.00597444,0.006437704,0.005820822,0.005831946,0.005843539,0.00567144,0.005719059,0.005857544,0.005830567,0.005630633,0.005534304,0.005649239,0.005536456,0.005356972,0.005412564,0.005241312,0.005131441,0.005042058,0.004899187,0.004946996,0.00476835,0.004763229,0.00465739,0.004895814,0.004780769,0.004728057,0.004729526,0.004664496,0.004607988,0.00465518,0.004590347,0.004423099,0.004586789,0.004907103,0.004562283,0.004144004,0.003973636,0.004018955,0.003968048,0.003837183
Standard stdev,0.36286595,0.011053726,0.016453119,0.023339614,0.026907867,0.027732654,0.027393641,0.027110953,0.026193187,0.025128013,0.024309732,0.023064736,0.02249877,0.022271039,0.022357669,0.022726646,0.022673732,0.022600252,0.023048874,0.02284163,0.022710705,0.022210645,0.022189824,0.02253254,0.023200992,0.02281147,0.022183038,0.022356167,0.022513539,0.022255702,0.021961486,0.020997109,0.02070421,0.020191321,0.020238582,0.019771766,0.020017734,0.020005913,0.01943176,0.019997029,0.020760782,0.019587146,0.019799892,0.019758087,0.019814052,0.01939732,0.019870773,0.020351425,0.020040723,0.019692391,0.019838577,0.0202328,0.019107617,0.01923797,0.019583274,0.019686004,0.01950817,0.019117648,0.018466953,0.018074814,0.017519522,0.017516186,0.018473985,0.017241227,0.017312594,0.01758347,0.017623894,0.017551824,0.018234685,0.017528197,0.017208466,0.0173641,0.018176593,0.017695155,0.017483274,0.018012993,0.01749696,0.017121328,0.017733216,0.01729375,0.017415965,0.017334137,0.017562272,0.017185917,0.017914979,0.017186843,0.017056322,0.017306771,0.017429316,0.017918594,0.017440114,0.017103659,0.016958663,0.017617427,0.017727055,0.016906949,0.015654156,0.015474185,0.015850471,0.01569714,0.015151177
Sequential mean,1.3532361,0.07098795,0.042991906,0.029453907,0.022919768,0.018340122,0.015934926,0.013878534,0.011988888,0.010547753,0.009309453,0.008205637,0.007265562,0.006870262,0.006527922,0.006024323,0.005459571,0.005213839,0.004849089,0.004612012,0.004349088,0.004150842,0.004121019,0.004112377,0.003979869,0.003657229,0.003571356,0.003464361,0.003251457,0.003096343,0.002949336,0.002854047,0.002693698,0.002681571,0.002693126,0.002616595,0.002736873,0.002553814,0.002602844,0.002529272,0.002429469,0.002405565,0.002377942,0.002384253,0.002314462,0.002214853,0.00211992,0.002034457,0.002030358,0.001988564,0.00196072,0.001998756,0.002019333,0.001986224,0.00201144,0.00202581,0.001897347,0.001824315,0.00182319,0.001819049,0.001744608,0.001717543,0.001667643,0.00159248,0.00164592,0.00163692,0.001652544,0.001577705,0.001489455,0.001639468,0.00158993,0.001526834,0.001521224,0.001600918,0.00156498,0.001675434,0.001600026,0.001615507,0.001662969,0.001574311,0.001588145,0.001572504,0.001689301,0.00177432,0.001519717,0.001426874,0.001463337,0.001479239,0.001492425,0.001459372,0.001544639,0.001578399,0.001454853,0.001468913,0.001534067,0.001531612,0.00159253,0.001506617,0.001707761,0.001695683,0.001696564
Seq stdev,0.5899591,0.01952374,0.019633533,0.015305321,0.010884776,0.00814619,0.008258086,0.00857617,0.008840711,0.008786188,0.008675877,0.008493212,0.008275472,0.008386695,0.008548735,0.00808845,0.007798354,0.007876566,0.00761734,0.007531853,0.007305558,0.0073351,0.007291474,0.007440759,0.00741689,0.006904291,0.006925398,0.006843544,0.006509719,0.006420741,0.006184643,0.006299569,0.006036689,0.006222922,0.006303316,0.006184656,0.006560078,0.006173184,0.006317777,0.006136833,0.005923569,0.005855163,0.006015399,0.005977305,0.005845744,0.005574661,0.005418623,0.005373895,0.005366502,0.005317833,0.005155213,0.005185781,0.005398543,0.005313469,0.005261718,0.005510323,0.005130423,0.004907563,0.00515551,0.005107058,0.004924275,0.004806145,0.004750509,0.004506539,0.004785533,0.004536232,0.004408558,0.004382892,0.00437502,0.004704701,0.004404895,0.004393426,0.004352386,0.004500879,0.004395591,0.004736715,0.004542243,0.004457656,0.004496782,0.004379594,0.004401179,0.004516318,0.004939762,0.005171153,0.004296703,0.003977679,0.004189814,0.004052371,0.004185001,0.004055247,0.004118835,0.003990863,0.003874264,0.004064353,0.003993062,0.004149692,0.004100654,0.003917329,0.004443002,0.004280123,0.004064687
,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata2,100,5,500,4,56,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.3237938,0.025841464,0.035443354,0.035833833,0.031534469,0.028797558,0.024182368,0.020930626,0.018876306,0.017309016,0.016102654,0.015230781,0.014481195,0.014030533,0.013270109,0.012886431,0.012572747,0.011959297,0.012030131,0.011713458,0.011414323,0.010690381,0.009915636,0.009872894,0.009730876,0.009671438,0.009458923,0.009342865,0.009373687,0.009353694,0.008998694,0.008558046,0.008292199,0.007901837,0.007514612,0.007339053,0.007142102,0.007067726,0.006541091,0.006585745,0.006613116,0.006100603,0.006210252,0.006139438,0.005912285,0.005665553,0.005841965,0.005943433,0.005662987,0.005532689,0.005469582,0.005579359,0.005225255,0.005283231,0.005236223,0.005357711,0.005343458,0.005091929,0.00475297,0.004662552,0.004522879,0.004256897,0.004770061,0.004228342,0.004186027,0.004206619,0.004018896,0.004141354,0.004368089,0.004191099,0.004040703,0.004007471,0.004128016,0.003935538,0.003791992,0.00373713,0.003641286,0.003515934,0.00337909,0.003324876,0.00335885,0.003195846,0.003073928,0.00288307,0.003376097,0.003353895,0.00326472,0.003250287,0.003172071,0.003148616,0.003110541,0.003011948,0.002968246,0.003117877,0.003373036,0.003030672,0.002551474,0.002467019,0.002311194,0.002272365,0.002140619
Sum-stdev,0.476412525,0.015288733,0.018043326,0.019322468,0.018896322,0.017939422,0.017825864,0.017843562,0.017516949,0.0169571,0.016492805,0.015778974,0.015387121,0.015328867,0.015453202,0.015407548,0.015236043,0.015238409,0.015333107,0.015186742,0.015008132,0.014772873,0.014740649,0.01498665,0.015308941,0.014857881,0.014554218,0.014599856,0.014511629,0.014338222,0.014073064,0.013648339,0.013370449,0.013207122,0.013270949,0.012978211,0.013288906,0.013089549,0.012874769,0.013066931,0.013342176,0.012721154,0.012907646,0.012867696,0.012829898,0.012485991,0.012644698,0.01286266,0.012703613,0.012505112,0.012496895,0.012709291,0.01225308,0.012275719,0.012422496,0.012598163,0.012319297,0.012012606,0.011811232,0.011590936,0.011221899,0.011161165,0.011612247,0.010873883,0.011049063,0.011059851,0.011016226,0.010967358,0.011304853,0.011116449,0.010806681,0.010878763,0.011264489,0.011098017,0.010939432,0.011374854,0.011019602,0.010789492,0.011114999,0.010836672,0.010908572,0.010925228,0.011251017,0.011178535,0.011105841,0.010582261,0.010623068,0.010679571,0.010807159,0.010986921,0.010779474,0.010547261,0.010416464,0.01084089,0.010860059,0.01052832,0.009877405,0.009695757,0.010146737,0.009988631,0.009607932
Is it?,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
