Standard mean,0.80563277,0.06267863,0.03172893,0.02257281,0.018918175,0.016075034,0.014078387,0.013081599,0.012196381,0.011654545,0.010737295,0.010148699,0.008823711,0.008419837,0.008144629,0.00765304,0.007039744,0.006200805,0.005939901,0.005661489,0.005596229,0.005132614,0.005080127,0.004694477,0.004677206,0.004579691,0.00448631,0.004414571,0.00427612,0.004248369,0.004424233
Standard stdev,0.31914082,0.035858344,0.02939825,0.02364277,0.023583584,0.022068044,0.022219338,0.022239158,0.023024738,0.02324752,0.022783464,0.022546178,0.020320995,0.02050717,0.020443784,0.0209048,0.019648371,0.01682854,0.016568724,0.016709592,0.01753988,0.017139647,0.017264353,0.016774459,0.016607236,0.016812848,0.01682972,0.017231582,0.01702435,0.01656117,0.017176555
Sequential mean,1.0525222,0.027557058,0.012865746,0.007510752,0.005261834,0.003789706,0.002511126,0.001915982,0.001695036,0.001700071,0.00167441,0.001519761,0.001405984,0.00128847,0.001285737,0.001259085,0.001252487,0.001204239,0.001242927,0.001189814,0.001206781,0.001211957,0.001215744,0.001138866,0.001075146,0.001113598,0.001079386,0.001098416,0.001018718,0.000914645,0.00077804
Seq stdev,0.5533196,0.01702852,0.007961518,0.007334112,0.006932764,0.006231204,0.005214613,0.004664256,0.004554173,0.004801845,0.00478621,0.004420816,0.004259124,0.003985717,0.004093186,0.004088506,0.004104132,0.0039362,0.00415154,0.00389587,0.003966967,0.003995624,0.003966232,0.003688128,0.003681911,0.003717107,0.003592395,0.003699455,0.00350706,0.003120678,0.002817385
,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,
makedata1,100,10,300,4,56,96,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.24688943,0.035121572,0.018863184,0.015062058,0.013656341,0.012285328,0.011567261,0.011165617,0.010501345,0.009954474,0.009062885,0.008628938,0.007417727,0.007131367,0.006858892,0.006393955,0.005787257,0.004996566,0.004696974,0.004471675,0.004389448,0.003920657,0.003864383,0.003555611,0.00360206,0.003466093,0.003406924,0.003316155,0.003257402,0.003333724,0.003646193
Sum-stdev,0.43623021,0.026443432,0.018679884,0.015488441,0.015258174,0.014149624,0.013716976,0.013451707,0.013789456,0.014024683,0.013784837,0.013483497,0.01229006,0.012246444,0.012268485,0.012496653,0.011876252,0.01038237,0.010360132,0.010302731,0.010753424,0.010567636,0.010615293,0.010231294,0.010144574,0.010264978,0.010211058,0.010465519,0.010265705,0.009840924,0.00999697
Is it?,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
