Standard mean,1.0323734,0.1720748,0.15890841,0.12868233,0.11176631,0.09980102,0.094043896,0.08951118,0.084920295,0.08123954,0.07781478,0.0748048,0.07221082,0.069865316,0.06811787,0.06575212,0.06409577,0.061548505,0.05955391,0.057592884,0.055338703,0.053339228,0.051207606,0.04905503,0.047174737,0.04575644,0.04398984,0.0426272,0.040666476,0.039029226,0.03790067,0.037041884,0.036078647,0.035500683,0.03453188,0.03384997,0.03333792,0.03311329,0.032584373,0.032499295,0.032178666,0.03168545,0.031227924,0.030418217,0.030474942,0.030177284,0.029500538,0.029383508,0.028756559,0.028472073,0.02853808,0.028297985,0.028094945,0.02749262,0.0276205,0.027706131,0.027185174,0.026769994,0.026091864,0.025559671,0.025639927,0.024720168,0.02458966,0.024141394,0.023768663,0.023572413,0.022651942,0.022845449,0.022768002,0.02218634,0.021983553,0.022046803,0.021545028,0.02183916,0.021811854,0.021250479,0.020944657,0.020662174,0.020947382,0.020969365,0.020806108,0.02034366,0.02060317,0.020384762,0.020519298,0.020385273,0.020115629,0.020231104,0.02006276,0.02039522,0.019792613,0.019769602,0.019460388,0.01945266,0.019501548,0.019223897,0.018887287,0.019205363,0.018923584,0.018361697,0.018439993,0.018409325,0.018013932,0.017933104,0.018179964,0.01804146,0.017670138,0.017665941,0.017359322,0.017323531,0.017377395,0.017041873,0.01692922,0.016732218,0.016870499,0.016886765,0.016741846,0.016441757,0.01652279,0.016725926,0.016289586,0.0165216,0.016386127,0.01642204,0.016168926,0.01605897,0.016165769,0.016171347,0.01590158,0.015620598,0.015858807,0.015746996,0.015742913,0.015663506,0.015280951,0.015352089,0.015210653,0.01510116,0.015002718,0.014946435,0.014673115,0.014911724,0.014882305,0.014723555,0.014488599,0.014944519,0.014554692,0.014253689,0.014679105,0.014267414,0.014157278,0.014070226,0.014468739,0.014292491,0.014336017,0.014024642,0.014141294,0.014006364,0.014036263,0.013748169,0.01342555,0.01334923,0.013202166,0.013305796,0.012912364,0.013078735,0.013210253,0.012719255,0.013034391,0.012910725,0.012781373,0.012810827,0.012664919,0.012606025,0.012526806,0.012738642,0.012561662,0.012589216,0.012541814,0.012459585,0.012630641,0.012446643,0.012844855,0.012397562,0.012469273,0.012540927,0.012263063,0.012186807,0.011934212,0.012206113,0.012218828,0.011833115,0.011821581,0.011601005,0.011626414,0.011917826,0.011656012,0.01174879,0.011438954,0.011478931,0.011528472,0.011623634,0.011497482,0.011580245,0.011371648,0.011508838,0.011398497,0.011403116,0.011524964,0.011464617,0.01141219,0.011699081,0.011294736,0.011304208,0.011293655,0.011214725,0.011292378,0.01106531,0.011406312,0.011264418,0.01150764,0.011211736,0.011204493,0.011367763,0.011040663,0.011041211,0.011207649,0.011149063,0.011037147,0.011328366,0.011018646,0.011343715,0.011329286,0.011257236,0.011287339,0.011338646,0.011285869,0.011198142,0.011140771,0.01113256,0.011240137,0.011314672,0.011170769,0.011047146,0.011005607,0.010884224,0.010547874,0.010575512,0.010621021,0.010602965,0.010613245,0.010471935,0.010513817,0.010151941,0.011599933,0.010129729,0.010072466,0.009906743,0.009854469,0.009848036,0.009842461,0.009687842,0.009895929,0.009520455,0.009591963,0.00968499,0.009642645,0.009372144,0.009321786,0.009262478,0.009367647,0.00936484,0.009419952,0.009267993,0.009217327,0.009308045,0.00928117,0.009178343,0.009181283,0.009348822,0.009402256,0.009092198,0.009244199,0.009126524,0.008858403,0.008890698,0.009280038,0.009137009,0.009249332,0.00903545,0.009476366,0.009198545,0.009145496,0.009223392,0.009273429,0.008952467,0.008894467,0.008895949,0.009105038,0.009196201,0.008941335
Standard stdev,0.37114584,0.056047242,0.033472564,0.024912428,0.017001996,0.013807305,0.015153913,0.018818555,0.020148994,0.022828996,0.025048897,0.027550174,0.028352717,0.028847633,0.029450513,0.030011747,0.031049913,0.031636342,0.03122142,0.030821014,0.031133052,0.030921718,0.031542085,0.031037183,0.030517783,0.029815234,0.029752731,0.029724823,0.029026238,0.02835641,0.028797725,0.029062344,0.028864242,0.0288608,0.02914235,0.029278832,0.029405687,0.029636983,0.029499382,0.02987978,0.03001393,0.029511867,0.029826187,0.029517157,0.030217703,0.029424163,0.029329784,0.029493053,0.02922038,0.029044377,0.029073197,0.029258955,0.030113354,0.029439054,0.029308513,0.029739644,0.029633485,0.029058589,0.028383303,0.028177474,0.02841455,0.027637571,0.027968785,0.027237553,0.027945772,0.027331049,0.02667379,0.027280556,0.027251171,0.026999453,0.027251313,0.026963513,0.026634138,0.027790992,0.02786081,0.027192898,0.027376441,0.02741618,0.027647043,0.02799285,0.028647281,0.02769551,0.027621493,0.02757225,0.02779324,0.028212685,0.027565608,0.027257107,0.027805516,0.028881447,0.027495207,0.027631825,0.02712515,0.02740147,0.027346209,0.027619263,0.026935773,0.027517661,0.02803863,0.026954683,0.026932037,0.027448768,0.027384007,0.027321272,0.027178263,0.027788443,0.02763888,0.027759103,0.027286412,0.027636748,0.027474456,0.027773483,0.027910927,0.027372213,0.028048432,0.028258737,0.028126322,0.028256524,0.028004896,0.028216746,0.027477818,0.028468266,0.027849732,0.02766353,0.027641134,0.027987864,0.027913623,0.02799823,0.02737296,0.027481494,0.028282383,0.027766295,0.02844605,0.028211428,0.027525546,0.028103264,0.028057333,0.027923517,0.028194254,0.027695386,0.027659563,0.028456543,0.02850617,0.027742846,0.028158374,0.02896162,0.028448675,0.02799999,0.029033406,0.028175578,0.027896456,0.027712435,0.02861224,0.028461577,0.02836076,0.027848233,0.02785724,0.028097577,0.028435558,0.027795726,0.027350651,0.02752659,0.027240025,0.026808744,0.027001055,0.027411455,0.027260069,0.026729254,0.02790556,0.027339881,0.027365506,0.027883353,0.02698673,0.027044194,0.026854884,0.027320608,0.026742717,0.027072515,0.027165083,0.026919825,0.027374936,0.026951665,0.028389936,0.027073456,0.027099026,0.027832357,0.026909102,0.026649538,0.02654235,0.027202325,0.026846627,0.025943788,0.026579922,0.025966004,0.025515512,0.026680212,0.026183182,0.026583761,0.025987688,0.025815314,0.025794769,0.02636692,0.025780305,0.026861904,0.025899913,0.026229732,0.025825301,0.026193758,0.025961505,0.02625896,0.025797492,0.027108518,0.025835227,0.026116934,0.026218098,0.025711872,0.025642633,0.025400272,0.026098689,0.025769616,0.026561225,0.026099224,0.025474768,0.026247352,0.025255814,0.025192993,0.025575764,0.025740016,0.025574457,0.026252361,0.025605943,0.026046941,0.02618443,0.026055038,0.026133306,0.025927778,0.025824979,0.025901003,0.026167676,0.025798183,0.025529545,0.026263034,0.025794975,0.025637923,0.025500273,0.025104487,0.02429788,0.02447883,0.02483179,0.02486871,0.024738405,0.024221819,0.025065122,0.023996234,0.030377373,0.023859473,0.023779199,0.023382867,0.023273377,0.02329562,0.02353256,0.023234786,0.024096573,0.023234637,0.023161566,0.02355654,0.02339511,0.022912707,0.022956692,0.023124289,0.023073949,0.023271779,0.023606956,0.022927027,0.022917176,0.023125695,0.02321991,0.022732006,0.023087298,0.023548933,0.023620786,0.023043754,0.023353375,0.023188818,0.022463499,0.022445649,0.02330326,0.022838414,0.023638098,0.022765726,0.024108743,0.02325586,0.022774236,0.023142863,0.023367466,0.022914669,0.022395005,0.022861678,0.022934131,0.022709044,0.022624575
Sequential mean,1.2945114,0.13020493,0.1552082,0.13775146,0.12853523,0.1162314,0.11111872,0.10247823,0.09101429,0.08254077,0.07435496,0.06511216,0.056397628,0.051506635,0.047242895,0.04460331,0.041896842,0.04003779,0.038616296,0.037043232,0.034901686,0.03306137,0.032017954,0.03179808,0.031035185,0.02988878,0.029131938,0.027580395,0.027133517,0.027011108,0.025410868,0.024849975,0.023914551,0.023068838,0.022980684,0.021516724,0.02158593,0.020240117,0.019896612,0.019586582,0.019412259,0.018640572,0.017843585,0.017775504,0.01729957,0.016509783,0.016839672,0.016221123,0.015522539,0.015456239,0.014842493,0.01438168,0.014105897,0.013756488,0.013355142,0.012744977,0.013132081,0.012539537,0.012721907,0.012044038,0.012368491,0.011984714,0.012043525,0.011430862,0.011610299,0.011003478,0.011636777,0.010939399,0.010825027,0.010557188,0.010394334,0.010278132,0.010194888,0.010329583,0.009814828,0.009944159,0.009843693,0.009376037,0.009133478,0.009036061,0.008664404,0.008866351,0.00856072,0.008680443,0.00820386,0.008261349,0.008191108,0.008204683,0.008187404,0.007917638,0.008259874,0.007800381,0.007952227,0.008337225,0.007484968,0.007727407,0.007485818,0.007595399,0.007033263,0.00726184,0.006960085,0.007346941,0.007256395,0.006719134,0.007267077,0.007190181,0.007396256,0.006966299,0.006804737,0.007060858,0.007135602,0.007095699,0.006593268,0.006717271,0.006457774,0.006725661,0.006976842,0.006755269,0.006450623,0.006443204,0.006586312,0.006496896,0.006374693,0.006194573,0.00641311,0.00616631,0.00663597,0.006227708,0.006686072,0.006265751,0.005933011,0.006164004,0.006450925,0.006165472,0.005936713,0.005857461,0.00631272,0.005891907,0.006092047,0.005941459,0.005732035,0.005734649,0.005814546,0.00601657,0.006085017,0.00568422,0.005601002,0.00582702,0.005495184,0.005785985,0.005812676,0.005412951,0.005459845,0.005534306,0.005462455,0.005393972,0.005282729,0.005587731,0.005032834,0.005544127,0.005136449,0.005340306,0.005128773,0.005534185,0.005096808,0.005262741,0.005038456,0.005152808,0.004958449,0.004869539,0.004958202,0.004707918,0.004906398,0.004646529,0.0048877,0.004845823,0.004581797,0.004683414,0.004641393,0.004458038,0.004417937,0.004661846,0.004654186,0.004547618,0.00440761,0.004761846,0.004450078,0.004503226,0.004509846,0.004765559,0.004356617,0.004399309,0.004485296,0.004750936,0.004441577,0.00436393,0.004389361,0.004276153,0.004331013,0.004323591,0.00415958,0.004042968,0.004435285,0.004269579,0.003993017,0.004323663,0.004680351,0.004292381,0.004087319,0.004175296,0.004586838,0.004004962,0.004091454,0.003923931,0.004078425,0.00410833,0.003787546,0.003873359,0.003878755,0.003981256,0.003933506,0.003656542,0.003742974,0.00393718,0.003742211,0.003971757,0.003840172,0.003784788,0.004152637,0.004060352,0.003840596,0.003772798,0.003701822,0.003962823,0.003814592,0.003930302,0.003823702,0.004045505,0.004001437,0.003952737,0.003787107,0.003741897,0.003667492,0.004118909,0.003666448,0.003683484,0.003660154,0.003715183,0.003703746,0.003735656,0.003796608,0.003748285,0.003700494,0.003590187,0.003683084,0.003763858,0.003848977,0.003877053,0.003658068,0.003904433,0.003724626,0.00359963,0.003523339,0.00375313,0.003579972,0.003621092,0.003906542,0.003782966,0.003623061,0.003722339,0.003865229,0.003666265,0.003666973,0.003623173,0.003694247,0.003392755,0.003544251,0.003376403,0.003639755,0.003542919,0.003599896,0.003549894,0.003661875,0.003873079,0.003918925,0.003503944,0.003508142,0.003906364,0.003692099,0.003781112,0.00355825,0.003630447,0.003711048,0.003352486,0.003535825,0.003688779,0.003475461,0.003540536,0.003546859,0.003677781,0.003387407
Seq stdev,0.524358,0.020095805,0.05778653,0.04232197,0.033825036,0.03178403,0.032349285,0.031021688,0.029957604,0.028675258,0.028729761,0.029915089,0.028918015,0.026990468,0.026689392,0.027068857,0.02747919,0.026235605,0.025711501,0.024978379,0.024366667,0.023501989,0.023060773,0.023691904,0.02403945,0.023600634,0.022864396,0.022662736,0.021979997,0.022052873,0.021998603,0.021305595,0.019822488,0.018740898,0.018840564,0.017884538,0.01753732,0.016869223,0.017124318,0.016669083,0.016503165,0.016003907,0.015593339,0.015599264,0.01543706,0.014933459,0.015052437,0.015432295,0.015082848,0.015555286,0.014728463,0.014293197,0.013907535,0.013822435,0.013051915,0.012652773,0.012976383,0.012779656,0.012764324,0.012339521,0.013813624,0.01311164,0.013502806,0.012521005,0.01288337,0.012209936,0.013737662,0.013153033,0.012691862,0.012712729,0.012816251,0.012236325,0.012624345,0.013096856,0.011796255,0.011459243,0.011349348,0.01063469,0.010206515,0.009335984,0.009078481,0.009149922,0.009075234,0.009207306,0.008529053,0.008696877,0.008737285,0.008479538,0.008594477,0.008387352,0.008852027,0.00826263,0.008584378,0.009418663,0.008266366,0.009091934,0.008572509,0.008984043,0.008281003,0.008690355,0.008198045,0.009049661,0.008989675,0.008241417,0.00891991,0.00944599,0.009582258,0.008814342,0.00854094,0.009580107,0.009489935,0.009671368,0.008716207,0.00922158,0.00857005,0.009032538,0.009424393,0.009168562,0.008778613,0.008601219,0.009103108,0.008969608,0.008675094,0.008612615,0.00873886,0.008506969,0.009261132,0.008586223,0.0094632,0.008715066,0.008234786,0.008520916,0.009344539,0.008662942,0.008269158,0.008039794,0.009122887,0.008189918,0.008441326,0.008337788,0.007918801,0.008157244,0.008171016,0.008749506,0.008926602,0.008254161,0.008166644,0.008534877,0.007906072,0.008534547,0.008765914,0.007861939,0.007990908,0.008335051,0.008157234,0.008234416,0.007782993,0.008716406,0.007498264,0.008871876,0.007748209,0.008807181,0.008202276,0.008818887,0.00790013,0.008502597,0.00774018,0.008343731,0.00767124,0.007842549,0.007782247,0.007275512,0.007813126,0.007330141,0.007926078,0.008001582,0.007303107,0.007802249,0.007587221,0.007313016,0.007204476,0.007867131,0.007765481,0.007606058,0.007102727,0.008363872,0.007304383,0.0074098,0.007673447,0.008267551,0.00736086,0.007414267,0.007810405,0.008681263,0.007895933,0.007647393,0.007664325,0.007794061,0.007631109,0.007778239,0.007229215,0.007274484,0.00797343,0.007920501,0.007008962,0.007780233,0.008798495,0.00770781,0.007318414,0.007639169,0.00896582,0.007031582,0.007256887,0.006941233,0.00711443,0.007388962,0.006688695,0.006827067,0.007173261,0.007392073,0.007142945,0.006663417,0.006997667,0.00749348,0.00686542,0.007191781,0.007197653,0.006772654,0.008003192,0.007787441,0.007642184,0.00699599,0.00688201,0.00743357,0.007090263,0.007575148,0.007093088,0.007815082,0.007687791,0.007430248,0.00700249,0.007067812,0.006861257,0.007863366,0.007041559,0.006828762,0.006817653,0.006980164,0.007027721,0.007105386,0.007123404,0.007099386,0.007003067,0.006701456,0.006821014,0.007276391,0.0072622,0.007515362,0.006953855,0.007524133,0.006951854,0.006648403,0.006303314,0.007212852,0.006606183,0.006805305,0.007499377,0.007033985,0.006786733,0.00704089,0.007761479,0.006872562,0.007025008,0.006856027,0.00732971,0.006370134,0.006936983,0.006595474,0.007138501,0.007081097,0.007360572,0.00713875,0.007489833,0.00818011,0.008259038,0.006824758,0.007137664,0.008121579,0.007494016,0.007825697,0.007191115,0.007057882,0.007285512,0.0064043,0.006995587,0.007255997,0.006750861,0.006987733,0.007016481,0.007712016,0.006480659
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata2,100,1,300,4,56,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,-0.262138,0.04186987,0.00370021,-0.00906913,-0.01676892,-0.01643038,-0.017074824,-0.01296705,-0.006093995,-0.00130123,0.00345982,0.00969264,0.015813192,0.018358681,0.020874975,0.02114881,0.022198928,0.021510715,0.020937614,0.020549652,0.020437017,0.020277858,0.019189652,0.01725695,0.016139552,0.01586766,0.014857902,0.015046805,0.013532959,0.012018118,0.012489802,0.012191909,0.012164096,0.012431845,0.011551196,0.012333246,0.01175199,0.012873173,0.012687761,0.012912713,0.012766407,0.013044878,0.013384339,0.012642713,0.013175372,0.013667501,0.012660866,0.013162385,0.01323402,0.013015834,0.013695587,0.013916305,0.013989048,0.013736132,0.014265358,0.014961154,0.014053093,0.014230457,0.013369957,0.013515633,0.013271436,0.012735454,0.012546135,0.012710532,0.012158364,0.012568935,0.011015165,0.01190605,0.011942975,0.011629152,0.011589219,0.011768671,0.01135014,0.011509577,0.011997026,0.01130632,0.011100964,0.011286137,0.011813904,0.011933304,0.012141704,0.011477309,0.01204245,0.011704319,0.012315438,0.012123924,0.011924521,0.012026421,0.011875356,0.012477582,0.011532739,0.011969221,0.011508161,0.011115435,0.01201658,0.01149649,0.011401469,0.011609964,0.011890321,0.011099857,0.011479908,0.011062384,0.010757537,0.01121397,0.010912887,0.010851279,0.010273882,0.010699642,0.010554585,0.010262673,0.010241793,0.009946174,0.010335952,0.010014947,0.010412725,0.010161104,0.009765004,0.009686488,0.010072167,0.010282722,0.009703274,0.010024704,0.010011434,0.010227467,0.009755816,0.00989266,0.009529799,0.009943639,0.009215508,0.009354847,0.009925796,0.009582992,0.009291988,0.009498034,0.009344238,0.009494628,0.008897933,0.009209253,0.008910671,0.009004976,0.00894108,0.009177075,0.009067759,0.008706985,0.008403582,0.009260299,0.00895369,0.008426669,0.009183921,0.008481429,0.008344602,0.008657275,0.009008894,0.008758185,0.008873562,0.00863067,0.008858565,0.008418633,0.009003429,0.008204042,0.008289101,0.008008924,0.008073393,0.007771611,0.007815556,0.007815994,0.008171797,0.007566447,0.008075942,0.008041186,0.007823171,0.008102909,0.007758521,0.007959496,0.007639106,0.007892819,0.007979865,0.007905802,0.007900421,0.008001547,0.008212704,0.007784797,0.008190669,0.007849944,0.008061663,0.007779081,0.007812985,0.007683581,0.007424366,0.007440554,0.007862211,0.007433806,0.007336285,0.006850069,0.007184837,0.007553896,0.007266651,0.007472637,0.007107941,0.00715534,0.007368892,0.007580666,0.007062197,0.007310666,0.007378631,0.007185175,0.006718146,0.007110735,0.007437645,0.007289321,0.006825352,0.007694119,0.007203282,0.007380277,0.00721523,0.007106395,0.007504832,0.007191951,0.007527557,0.007283162,0.007574134,0.007555194,0.007461519,0.007430583,0.007298452,0.007069454,0.007367477,0.007364275,0.00688451,0.007268014,0.00717805,0.007570917,0.007627464,0.007294413,0.007472747,0.007408344,0.007462167,0.007152637,0.007139334,0.007179823,0.00745303,0.007572775,0.007503277,0.006928237,0.007339159,0.00720074,0.00688772,0.006860329,0.006917275,0.006867309,0.006816637,0.00672365,0.006813323,0.006561754,0.007916849,0.006365871,0.006223489,0.00602969,0.006196401,0.005943603,0.006117835,0.006088212,0.00637259,0.005767325,0.006011991,0.006063898,0.005736103,0.005589178,0.005698725,0.005540139,0.005502418,0.005698575,0.005752979,0.00564482,0.00552308,0.00591529,0.005736919,0.00580194,0.005541528,0.005805903,0.00580236,0.005542304,0.005582324,0.005253445,0.004939478,0.005386754,0.005771896,0.005230645,0.005557233,0.005254338,0.005918116,0.005568098,0.005434448,0.005870906,0.005737604,0.005263688,0.005419006,0.005355413,0.005558179,0.00551842,0.005553928
