Standard mean,0.88705033,0.17408466,0.16069107,0.14087586,0.12668315,0.11325694,0.10478859,0.09672751,0.08863954,0.081541054,0.07416954,0.06886739,0.06511788,0.061145578,0.058422513,0.055198334,0.052701287,0.05045571,0.047575373,0.045223504,0.042667184,0.040970337,0.039474536,0.03807773,0.036296364,0.035039738,0.03474457,0.033024594,0.031302627,0.030585289,0.030205991,0.02963513,0.028986864,0.027709698,0.027158823,0.025810784,0.025129372,0.024196977,0.024019746,0.024265256,0.023875399,0.023176108,0.022895012,0.022736182,0.022682453,0.022406721,0.022187645,0.022433557,0.02157745,0.021437025,0.021200784
Standard stdev,0.36190814,0.025970004,0.03039266,0.0249603,0.02041868,0.023150088,0.028647458,0.030174464,0.034005255,0.035707764,0.037561435,0.039150402,0.040193915,0.040447045,0.040097345,0.03992745,0.039368764,0.03916125,0.038074154,0.03771094,0.03662251,0.03603895,0.03554815,0.03442722,0.033076137,0.0317512,0.031925198,0.030517744,0.030178932,0.030170035,0.029847262,0.029849352,0.029526753,0.028867012,0.027358916,0.026186412,0.025683481,0.025472103,0.026192652,0.025918964,0.025970964,0.025661854,0.025936102,0.025743987,0.025390118,0.02558224,0.025729453,0.026276676,0.025667328,0.025700994,0.026002843
Seq mean,1.0433013,0.15361382,0.15485622,0.13120031,0.11799719,0.10503931,0.096932605,0.08814129,0.074089386,0.068428986,0.060636748,0.0561208,0.049766537,0.045940753,0.040550075,0.037183385,0.03435415,0.031610332,0.02998623,0.027559042,0.02521343,0.024431126,0.022793133,0.021988291,0.021190833,0.020852499,0.01908524,0.018994756,0.017631095,0.01754832,0.016186237,0.01591483,0.014923261,0.014374985,0.014115721,0.013206,0.012664783,0.012336006,0.012214813,0.011801308,0.01154339,0.010840181,0.010172473,0.010312443,0.009639909,0.009796768,0.009325778,0.009262301,0.008751165,0.00836411,0.008398254
Seq stdev,0.5678787,0.02110727,0.055415556,0.03695988,0.03519186,0.041340977,0.042284686,0.04064192,0.04064457,0.037787486,0.036806073,0.035755765,0.03611728,0.033660285,0.03020295,0.028261714,0.026948856,0.025321703,0.023762062,0.021007646,0.018044708,0.018281052,0.017725388,0.016686913,0.020770853,0.018924886,0.015587148,0.016112618,0.014006312,0.014722566,0.011237974,0.010347074,0.009393549,0.008395231,0.008474221,0.00832137,0.007728612,0.007973497,0.007799504,0.008267561,0.008529622,0.008128837,0.007910362,0.008216306,0.008028486,0.008413308,0.008029218,0.008685679,0.008305246,0.008191877,0.008151904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makedata1,50,1,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
