Standard mean,0.7244494,0.07263506,0.038959138,0.028262055,0.019895624,0.017861683,0.014107806,0.010409316,0.007004702,0.006188564,0.005048534
Standard stdev,0.23668177,0.040572926,0.037510537,0.034291696,0.027229523,0.027439656,0.023923125,0.015182772,0.00826963,0.007500587,0.006983472
Seq mean,1.0521902,0.030528827,0.013233659,0.008188853,0.005853936,0.004633878,0.00352684,0.002832978,0.002436518,0.001780646,0.001731816
Seq stdev,0.48677275,0.015378552,0.006508248,0.007071031,0.007498739,0.006883438,0.006161348,0.005770575,0.005148291,0.004530293,0.004679699
,,,,,,,,,,,
Data set,num of models,Epochs per measurement,total epochs,mapping layer size,params,seqparams,,,,,
makedata1,50,10,100,4,56,96,,,,,
