a,b,a+a,1/(a+1),1-a
44.45838519,19.36566307,38.28708618,1.560791045,10.5317372
6.642345062,13.07550579,34.70598565,38.51882384,11.20613017
19.13660451,8.349850792,29.03282986,15.85215307,6.630090943
9.34199179,10.70061405,29.67184158,1.750682741,6.414710386
7.776149464,8.271793604,33.27537098,3.949812172,5.991689379
12.70622208,7.013044648,31.49144338,7.227154065,8.452956568
9.636188182,7.31115282,26.16294343,5.519453208,7.012087803
7.18391219,7.13931001,25.54977469,2.569614587,6.576130922
6.212015113,7.056795557,25.61086858,1.697150196,6.815717851
5.877900768,7.758407957,26.39563824,2.264880426,7.867114164
5.354378611,8.275312748,23.37273814,2.530892414,8.546617506
4.570267603,8.311184602,18.24651889,2.679529615,8.58984232
4.024363696,8.633428016,14.33010814,3.029111049,8.907445483
3.787580824,8.468845337,11.72117043,3.639738624,9.79956511
1.985875076,8.285082491,5.144007254,4.317440947,7.202905851
1.094423211,8.319391952,2.100640834,4.07981882,4.42926362
0.576895273,8.391771245,2.431692095,3.41588046,1.363727697
0.803768698,8.116480368,3.259298913,2.44412762,0.807422838
0.456431137,7.265883247,1.963044485,1.55628248,1.411936439
0.395387255,7.053452226,1.40366448,1.016568537,1.617479289
